Date (Montly);Load (hourly) Mwh;Gross Production GWH;Net Electricity Consumption Kwh;T.C. Elektricity consumption (Gross Demand) Kwh
1.1985;5203.70;2898.70;2462555530.19;3014000000.00
2.1985;5121.80;2608.90;2177899144.42;2665600000.00
3.1985;5258.30;2887.10;2423337658.44;2966000000.00
4.1985;5286.20;2655.30;2301680552.13;2817100000.00
5.1985;5318.20;2730.60;2454385140.25;3004000000.00
6.1985;5272.70;2600.30;2312955690.25;2830900000.00
7.1985;5446.90;2848.40;2541644904.89;3110800000.00
8.1985;5533.90;2861.40;2504469630.62;3065300000.00
9.1985;5658.70;2943.60;2547282473.95;3117700000.00
10.1985;5552.70;3002.70;2637973802.37;3228700000.00
11.1985;5664.80;3031.00;2618119754.79;3204400000.00
12.1985;5689.10;3150.90;2726295717.70;3336800000.00
1.1986;5655.10;3150.80;2604887788.80;3245960790.00
2.1986;5674.10;2880.10;2352490542.36;2931447601.00
3.1986;5713.60;3190.20;2603785434.48;3244587142.00
4.1986;5769.60;3090.70;2521376533.95;3141897091.00
5.1986;5756.70;3279.10;2675843859.29;3334379425.00
6.1986;5784.60;3083.60;2519519623.76;3139583188.00
7.1986;6019.50;3461.30;2824294317.90;3519364118.00
8.1986;6159.70;3365.30;2745700164.32;3421427638.00
9.1986;6241.30;3475.40;2797222631.15;3485629984.00
10.1986;6208.10;3545.80;2834718797.09;3532354102.00
11.1986;6224.00;3507.90;2795506303.13;3483491261.00
12.1986;6391.00;3664.60;2934354003.78;3656509920.00
1.1987;6265.20;3581.40;2946970747.09;3581280227.00
2.1987;6283.30;3260.00;2708673789.87;3291691950.00
3.1987;6354.00;3545.50;2946562511.25;3580784122.00
4.1987;6431.80;3430.30;2856369157.68;3471177444.00
5.1987;6396.80;3545.40;2932627265.98;3563849438.00
6.1987;6599.00;3622.40;3004963031.08;3651754839.00
7.1987;6720.00;3873.20;3244806965.15;3943223066.00
8.1987;6641.00;3606.90;3030231234.08;3682461800.00
9.1987;6976.00;3799.50;3153654872.68;3832451289.00
10.1987;7069.00;3983.50;3258971133.71;3960435947.00
11.1987;7336.00;3965.10;3234940384.65;3931232791.00
12.1987;7363.00;4139.70;3378528906.79;4105727477.00
1.1988;7227.00;4084.00;3357593233.73;4093700000.00
2.1988;7084.00;3887.20;3192899992.57;3892900000.00
3.1988;7012.00;4033.60;3313385237.22;4039800000.00
4.1988;6761.00;3791.70;3115720540.41;3798800000.00
5.1988;6698.00;3740.70;3080944676.74;3756400000.00
6.1988;6935.00;3812.90;3152710904.83;3843900000.00
7.1988;7304.00;3939.20;3269341277.81;3986100000.00
8.1988;7259.00;4194.10;3496450632.77;4263000000.00
9.1988;7516.00;4053.50;3375637313.93;4115700000.00
10.1988;7457.00;4162.50;3466349826.24;4226300000.00
11.1988;7564.00;4131.90;3404835916.45;4151300000.00
12.1988;7563.00;4217.50;3495630447.31;4262000000.00
1.1989;7408.00;4166.30;3458341764.62;4218800000.00
2.1989;7497.00;3910.70;3219140065.82;3927000000.00
3.1989;7393.00;4225.60;3498837185.87;4268200000.00
4.1989;7379.00;4085.20;3389073280.90;4134300000.00
5.1989;7283.00;4070.30;3385548375.81;4130000000.00
6.1989;7408.00;4219.20;3489983935.88;4257400000.00
7.1989;7510.00;4301.60;3565564458.94;4349600000.00
8.1989;7870.00;4615.90;3838703616.04;4682800000.00
9.1989;8013.00;4480.90;3717463275.90;4534900000.00
10.1989;8096.00;4605.50;3834604889.20;4677800000.00
11.1989;8450.00;4607.40;3803618514.23;4640000000.00
12.1989;8440.00;4754.60;3919120636.79;4780900000.00
1.199;8292.00;4759.60;3927349660.09;4765469478.00
2.199;8182.00;4355.00;3539958990.24;4295407331.00
3.199;8027.00;4690.90;3815818096.34;4630136414.00
4.199;7744.00;4092.90;3372399108.40;4092089172.00
5.199;7937.00;4588.20;3781288199.97;4588237632.00
6.199;8210.00;4643.80;3857802183.90;4681080156.00
7.199;8323.00;4650.40;3868139591.52;4693623628.00
8.199;8526.00;5059.10;4160377665.32;5048227048.00
9.199;8724.00;5129.00;4068763316.27;4937061651.00
10.199;8876.00;5289.50;4170826225.35;5060905393.00
11.199;8963.00;5186.20;4098117528.49;4972680227.00
12.199;9007.00;5098.40;4159159434.12;5046748839.00
1.1991;8486.10;4730.20;3849487631.14;4725601292.00
2.1991;8534.00;4535.40;3643504904.27;4472738487.00
3.1991;8669.00;5061.30;4078089741.89;5006231478.00
4.1991;8347.00;4458.50;3662073775.54;4495533490.00
5.1991;8314.00;4835.40;4002084993.70;4912928636.00
6.1991;8589.00;4491.30;3760921801.17;4616878563.00
7.1991;8860.00;5253.30;4371142215.67;5365980432.00
8.1991;9173.00;5402.70;4463428560.24;5479270436.00
9.1991;9266.00;5170.00;4255869589.34;5224472646.00
10.1991;9551.00;5330.00;4341811342.03;5329974078.00
11.1991;9649.00;5335.80;4313571737.88;5295307358.00
12.1991;9854.00;5642.40;4540913707.12;5574390604.00
Jan 92;9684.00;5667.00;4494628541.96;5596782874.00
Feb 92;9462.00;5264.30;4170911580.37;5193685370.00
Mrz 92;9419.00;5664.00;4494383265.62;5596477452.00
Apr 92;9095.00;4888.50;3946972193.19;4914832487.00
Mai 92;9060.00;5270.90;4269967424.52;5317031281.00
Jun 92;9242.00;4982.30;4038494749.27;5028797828.00
Jul 92;9510.00;5776.60;4638477835.59;5775906300.00
Aug 92;10005.00;5965.20;4800635764.86;5977827930.00
Sep 92;10101.00;5705.40;4624749742.21;5758811860.00
Okt 92;10144.00;5845.80;4693455016.35;5844364759.00
Nov 92;10713.00;5898.70;4695521961.55;5846938552.00
Dez 92;10937.00;6413.50;5111801924.51;6365296976.00
Jan 93;10758.00;6270.30;5005861072.63;6205080909.00
Feb 93;10561.00;5771.00;4578651746.58;5675527972.00
Mrz 93;10237.00;5927.90;4701198963.52;5827432986.00
Apr 93;10006.00;5695.10;4573327573.29;5668928323.00
Mai 93;9716.00;5661.70;4564399913.56;5657861925.00
Jun 93;10312.00;5513.50;4460699600.89;5529318839.00
Jul 93;10588.00;6368.50;5174985730.26;6414721602.00
Aug 93;10877.00;6436.30;5221978590.69;6472972220.00
Sep 93;10975.00;6300.20;5086051844.00;6304482434.00
Okt 93;11098.00;6329.00;5070261885.23;6284909783.00
Nov 93;11679.00;6562.40;5244271574.35;6500605781.00
Dez 93;11803.00;6971.60;5558311505.00;6889878106.00
Jan 94;11611.00;6763.00;5286481773.46;6697041280.00
Feb 94;11595.00;6272.90;4911649887.52;6222195301.00
Mrz 94;11304.00;6483.30;5052323247.67;6400403671.00
Apr 94;10554.00;5981.10;4672727071.16;5919522175.00
Mai 94;10392.00;5875.30;4602295122.91;5830297302.00
Jun 94;10279.00;6010.90;4743515082.33;6009198117.00
Jul 94;10666.00;6540.40;5144254976.37;6516864979.00
Aug 94;11210.00;6771.60;5327773663.67;6749350832.00
Sep 94;11309.00;6670.90;5243648814.25;6642779465.00
Okt 94;11532.00;6642.20;5219082814.33;6611658670.00
Nov 94;12446.00;6884.70;5388653903.65;6826475373.00
Dez 94;12430.00;7425.40;5807593642.68;7357198233.00
Jan 95;12337.00;7284.30;5676849703.95;7206756691.00
Feb 95;11725.00;6597.50;5142695191.04;6528647914.00
Mrz 95;11926.00;6867.50;5350675320.89;6792678542.00
Apr 95;11749.00;6708.90;5226916537.60;6635566854.00
Mai 95;11610.00;6468.40;5053960116.09;6415998799.00
Jun 95;11802.00;7015.60;5488928786.52;6968191219.00
Jul 95;11955.00;7412.40;5807374272.01;7372457538.00
Aug 95;12346.00;7695.90;6023615121.70;7646975144.00
Sep 95;12212.00;7171.60;5615944847.71;7129438019.00
Okt 95;12491.00;7119.50;5562084989.47;7061062967.00
Nov 95;13618.00;7677.60;6004126289.28;7622234085.00
Dez 95;13827.00;8228.20;6436828823.75;8171549647.00
Jan 96;13610.00;8215.60;6388285246.38;8165274049.00
Feb 96;13024.00;7241.80;5632684894.46;7199493138.00
Mrz 96;13384.00;8146.40;6337505667.79;8100369437.00
Apr 96;13037.00;7290.70;5662207513.66;7237227877.00
Mai 96;12257.00;7247.40;5665672519.07;7241656721.00
Jun 96;12883.00;7406.80;5825139224.66;7445481269.00
Jul 96;13415.00;8210.00;6470424154.19;8270261016.00
Aug 96;13461.00;8310.20;6503338238.14;8312330602.00
Sep 96;13136.00;7654.30;5998939885.74;7667626958.00
Okt 96;14076.00;8138.70;6367481077.21;8138682916.00
Nov 96;14487.00;8291.40;6482816517.15;8286100484.00
Dez 96;15136.00;8708.40;6825505061.55;8724112528.00
Jan 97;14879.00;8841.70;6921603265.94;9002263745.00
Feb 97;14902.00;7827.90;6122303312.46;7962691161.00
Mrz 97;15111.00;8907.80;7014451473.71;9123022480.00
Apr 97;14897.00;7952.30;6300720340.72;8194741032.00
Mai 97;14168.00;8108.10;6395583337.25;8318120209.00
Jun 97;14168.00;7979.60;6325789892.37;8227346587.00
Jul 97;14666.00;8790.30;7025090477.40;9136859609.00
Aug 97;14520.00;8718.60;6962381737.92;9055300382.00
Sep 97;14575.00;8429.40;6732545000.40;8756373840.00
Okt 97;15621.00;8774.00;7012756882.36;9120818488.00
Nov 97;16369.00;9084.60;7216312940.00;9385564277.00
Dez 97;16717.00;9881.50;7860461339.47;10223346155.00
Jan 98;16125.00;9559.70;7532690306.73;9793584703.00
Feb 98;16422.00;8899.10;6984309725.85;9080610792.00
Mrz 98;16782.00;9881.10;7747581621.01;10072974430.00
Apr 98;15936.00;8041.70;6328382160.23;8227810277.00
Mai 98;14864.00;8727.50;6875614949.33;8939291893.00
Jun 98;15400.00;8692.20;6867162290.17;8928302216.00
Jul 98;16056.00;9638.90;7608471274.74;9892110900.00
Aug 98;16189.00;9804.40;7746439156.33;10071489061.00
Sep 98;15639.00;9087.50;7183876160.18;9340075963.00
Okt 98;16118.00;8947.90;7158447258.28;9307014720.00
Nov 98;17184.00;9343.90;7453509807.72;9690638625.00
Dez 98;17565.00;10398.50;8213515289.42;10678755454.00
Jan 99;16978.00;9837.40;7677468523.59;9974386131.00
Feb 99;17306.00;9325.60;7276471304.24;9453419996.00
Mrz 99;17441.00;9718.00;7586649131.03;9856395717.00
Apr 99;16307.00;8992.70;7021157336.17;9121722107.00
Mai 99;15584.00;9236.70;7259864242.61;9431844493.00
Jun 99;15996.00;9225.50;7256174298.05;9427050604.00
Jul 99;16874.00;10184.70;7983914010.51;10372512884.00
Aug 99;16771.00;9828.40;7690697124.14;9991572417.00
Sep 99;15795.00;9261.60;7261096123.80;9433444924.00
Okt 99;16552.00;9626.50;7529630359.44;9782318273.00
Nov 99;18147.00;10231.40;7997216085.29;10389794626.00
Dez 99;18804.00;10971.40;8659661461.13;11250428043.00
Jan 00;18979.00;10934.10;8566926087.51;11179327168.00
Feb 00;19083.00;10646.60;8346452467.98;10891622255.00
Mrz 00;18916.00;10618.90;8354154622.58;10901673107.00
Apr 00;17395.00;9470.80;7450667654.10;9722676544.00
Mai 00;16521.00;9719.90;7608368173.22;9928466308.00
Jun 00;17074.00;9696.90;7654778226.32;9989028657.00
Jul 00;18110.00;10887.00;8572509772.03;11186613543.00
Aug 00;17964.00;10913.60;8574806421.91;11189610534.00
Sep 00;17471.00;10144.00;7974202788.06;10405858643.00
Okt 00;18459.00;10354.80;8156574139.47;10643842370.50
Nov 00;19270.00;10539.50;8314815810.16;10850338305.00
Dez 00;18996.00;10995.50;8725743836.66;11386574850.50
Jan 01;19328.00;11304.00;8942415717.57;11687810275.00
Feb 01;19165.00;10184.60;8058715469.09;10532806843.00
Mrz 01;17680.00;9633.80;7510323308.07;9816053816.00
Apr 01;16651.00;9342.80;7412777472.24;9688560613.00
Mai 01;15760.00;9325.20;7454331551.12;9742872133.00
Jun 01;16639.00;9606.10;7584910912.27;9913540423.00
Jul 01;17980.00;10671.40;8474731590.04;11076543306.00
Aug 01;18154.00;10813.50;8624134745.74;11271814449.00
