DATE,USASACRMISMEI
1960-01-01,74.0871213461638
1960-02-01,90.1178236665314
1960-03-01,104.166306363883
1960-04-01,99.2706229996542
1960-05-01,88.0424796316954
1960-06-01,77.3730827346541
1960-07-01,82.1623381996602
1960-08-01,91.1554956839494
1960-09-01,99.1109811508206
1960-10-01,94.3217256858145
1960-11-01,84.6633938313856
1960-12-01,74.2467631949973
1961-01-01,70.6681250836455
1961-02-01,71.0539262183266
1961-03-01,73.3820365138156
1961-04-01,75.1247933635818
1961-05-01,77.4928141212792
1961-06-01,79.4351232820872
1961-07-01,79.4218197946844
1961-08-01,79.514944206504
1961-09-01,80.0470837026158
1961-10-01,83.1734032422726
1961-11-01,87.3506982867501
1961-12-01,89.8783608932811
1962-01-01,91.2353166083662
1962-02-01,90.1178236665314
1962-03-01,89.1865795483358
1962-04-01,91.049067784727
1962-05-01,93.3904815676189
1962-06-01,95.3061837536213
1962-07-01,93.576730391258
1962-08-01,90.72978408706
1962-09-01,89.1865795483358
1962-10-01,94.3616361480229
1962-11-01,100.68079266435
1962-12-01,106.387988760149
1963-01-01,104.578714473369
1963-02-01,101.133111236045
1963-03-01,97.1952789648182
1963-04-01,99.2307125374458
1963-05-01,102.782743673992
1963-06-01,106.082008549885
1963-07-01,103.022206447242
1963-08-01,98.9114288397787
1963-09-01,96.3172487962337
1963-10-01,99.9624043445995
1963-11-01,105.749421364815
1963-12-01,112.241523217379
1964-01-01,112.228219729976
1964-02-01,107.026556155483
1964-03-01,103.793808716604
1964-04-01,106.29486434833
1964-05-01,109.67395014864
1964-06-01,113.691603344284
1964-07-01,115.727036916911
1964-08-01,115.846768303536
1964-09-01,113.305802209603
1964-10-01,106.135222499496
1964-11-01,98.8715183775703
1964-12-01,95.9181441741499
1965-01-01,111.62956279685
1965-02-01,129.655788227637
1965-03-01,145.486938236963
1965-04-01,136.892885374758
1965-05-01,121.567267886738
1965-06-01,106.387988760149
1965-07-01,111.443313973211
1965-08-01,123.376542173518
1965-09-01,134.312008818615
1965-10-01,130.81319163168
1965-11-01,123.057258475851
1965-12-01,117.083992631996
1966-01-01,122.844402677406
1966-02-01,132.14354037196
1966-03-01,138.728766636343
1966-04-01,128.724544109442
1966-05-01,113.598478932464
1966-06-01,101.359270521893
1966-07-01,106.494416659372
1966-08-01,117.842291413956
1966-09-01,129.150255706331
1966-10-01,126.729020999022
1966-11-01,118.693714607734
1966-12-01,109.873502459682
1967-01-01,112.62732435206
1967-02-01,100.308295017072
1967-03-01,105.895759726246
1967-04-01,118.534072758901
1967-05-01,116.312390362634
1967-06-01,119.358888977874
1967-07-01,116.418818261857
1967-08-01,107.904586324068
1967-09-01,113.95767309234
1967-10-01,104.525500523758
1967-11-01,101.332663547087
1967-12-01,115.34123578223
1968-01-01,126.143667553299
1968-02-01,120.130491247236
1968-03-01,129.66909171504
1968-04-01,121.314501626085
1968-05-01,128.644723185025
1968-06-01,125.252333897312
1968-07-01,133.300943776003
1968-08-01,133.154605414572
1968-09-01,131.864167136501
1968-10-01,133.580317011462
1968-11-01,128.990613857498
1968-12-01,129.203469655942
1969-01-01,132.609162431058
1969-02-01,129.589270790623
1969-03-01,124.81331881302
1969-04-01,128.165797638524
1969-05-01,128.751151084247
1969-06-01,127.380891881759
1969-07-01,121.487446962321
1969-08-01,127.447409318773
1969-09-01,134.804237852519
1969-10-01,131.385241590001
1969-11-01,123.762343308199
1969-12-01,119.452013389694
1970-01-01,113.385623134019
1970-02-01,121.514053937127
1970-03-01,114.330170739618
1970-04-01,118.81344599436
1970-05-01,119.119426204624
1970-06-01,124.334393266519
1970-07-01,120.396560995292
1970-08-01,117.749167002136
1970-09-01,117.90880885097
1970-10-01,99.3637474114737
1970-11-01,84.5968763943716
1970-12-01,89.8783608932811
1971-01-01,129.775519614262
1971-02-01,130.66685327025
1971-03-01,137.637880669314
1971-04-01,132.502734531835
1971-05-01,130.014982387513
1971-06-01,134.325312306018
1971-07-01,127.221250032926
1971-08-01,133.167908901975
1971-09-01,153.069926056556
1971-10-01,148.373795003369
1971-11-01,142.134459411459
1971-12-01,133.912904196532
1972-01-01,137.864039955162
1972-02-01,140.391702561693
1972-03-01,139.660010754539
1972-04-01,140.870628108193
1972-05-01,143.66436046278
1972-06-01,140.564647897929
1972-07-01,142.347315209903
1972-08-01,145.247475463713
1972-09-01,143.677663950183
1972-10-01,149.438073995593
1972-11-01,154.400274796835
1972-12-01,157.699539672729
1973-01-01,159.016584925605
1973-02-01,161.251570809275
1973-03-01,170.790171277079
1973-04-01,164.204945012695
1973-05-01,165.043064719071
1973-06-01,154.719558494502
1973-07-01,151.021188996526
1973-08-01,145.287385925921
1973-09-01,148.027904330897
1973-10-01,129.709002177248
1973-11-01,135.030397138366
1973-12-01,127.873120915663
1974-01-01,127.700175579426
1974-02-01,121.474143474919
1974-03-01,121.979675996225
1974-04-01,120.436471457501
1974-05-01,119.611655238527
1974-06-01,118.680411120332
1974-07-01,118.401037884873
1974-08-01,137.983771341787
1974-09-01,119.239157591249
1974-10-01,105.603083003384
1974-11-01,93.9226210637307
1974-12-01,95.6387709386912
1975-01-01,105.855849264038
1975-02-01,121.208073726863
1975-03-01,101.266146110073
1975-04-01,96.9425127041651
1975-05-01,102.742833211784
1975-06-01,107.026556155483
1975-07-01,119.478620364499
1975-08-01,115.979803177564
1975-09-01,121.048431878029
1975-10-01,120.902093516598
1975-11-01,123.256810786893
1975-12-01,127.314374444745
1976-01-01,129.589270790623
1976-02-01,134.790934365116
1976-03-01,135.695571508506
1976-04-01,133.021570540544
