Date;Close
2000-01-04;0.915179
2000-01-05;0.928571
2000-01-06;0.848214
2000-01-07;0.888393
2000-01-10;0.872768
2000-01-11;0.828125
2000-01-12;0.77846
2000-01-13;0.863839
2000-01-14;0.896763
2000-01-18;0.928013
2000-01-19;0.951451
2000-01-20;1.013393
2000-01-21;0.993862
2000-01-24;0.948661
2000-01-25;1.002232
2000-01-26;0.983817
2000-01-27;0.982143
2000-01-28;0.907366
2000-01-31;0.926339
2000-02-01;0.895089
2000-02-02;0.882254
2000-02-03;0.922433
2000-02-04;0.964286
2000-02-07;1.018415
2000-02-08;1.02567
2000-02-09;1.00558
2000-02-10;1.013393
2000-02-11;0.970982
2000-02-14;1.03404
2000-02-15;1.0625
2000-02-16;1.018973
2000-02-17;1.02567
2000-02-18;0.993304
2000-02-22;1.016183
2000-02-23;1.037946
2000-02-24;1.028599
2000-02-25;0.985491
2000-02-28;1.011161
2000-02-29;1.023438
2000-03-01;1.163504
2000-03-02;1.089286
2000-03-03;1.142857
2000-03-06;1.12221
2000-03-07;1.097098
2000-03-08;1.089286
2000-03-09;1.091518
2000-03-10;1.122768
2000-03-13;1.083147
2000-03-14;1.020089
2000-03-15;1.037946
2000-03-16;1.085379
2000-03-17;1.116071
2000-03-20;1.098214
2000-03-21;1.204799
2000-03-22;1.287388
2000-03-23;1.261719
2000-03-24;1.238281
2000-03-27;1.246094
2000-03-28;1.242188
2000-03-29;1.213728
2000-03-30;1.122768
2000-03-31;1.212612
2000-04-03;1.19029
2000-04-04;1.136719
2000-04-05;1.164063
2000-04-06;1.117746
2000-04-07;1.176339
2000-04-10;1.116071
2000-04-11;1.066406
2000-04-12;0.975446
2000-04-13;1.016183
2000-04-14;0.998884
2000-04-17;1.106027
2000-04-18;1.132813
2000-04-19;1.081473
2000-04-20;1.061384
2000-04-24;1.075893
2000-04-25;1.145647
2000-04-26;1.083147
2000-04-27;1.131696
2000-04-28;1.107701
2000-05-01;1.109933
2000-05-02;1.052455
2000-05-03;1.027344
2000-05-04;0.988281
2000-05-05;1.010045
2000-05-08;0.983259
2000-05-09;0.941406
2000-05-10;0.886719
2000-05-11;0.917969
2000-05-12;0.960938
2000-05-15;0.901786
2000-05-16;0.943638
2000-05-17;0.905134
2000-05-18;0.899554
2000-05-19;0.839286
2000-05-22;0.803013
2000-05-23;0.766183
2000-05-24;0.782924
2000-05-25;0.779157
2000-05-26;0.771205
2000-05-30;0.781808
2000-05-31;0.75
2000-06-01;0.795759
2000-06-02;0.826451
2000-06-05;0.81529
2000-06-06;0.829241
2000-06-07;0.862165
2000-06-08;0.84654
